iter	Passed	Remaining
212	286	1058
213	287	1054
214	287	1050
215	288	1046
216	288	1042
217	289	1037
218	289	1033
219	290	1029
220	291	1025
221	291	1022
222	292	1018
223	292	1014
224	293	1010
225	294	1007
226	294	1004
227	295	1001
228	296	997
229	296	993
230	297	989
231	297	986
232	298	982
233	299	979
234	299	975
235	300	972
236	301	969
237	301	965
238	302	962
239	302	958
240	303	955
241	303	952
242	304	948
243	305	945
244	305	942
245	306	938
246	306	935
247	307	932
248	307	928
249	308	925
250	309	923
251	310	920
252	310	917
253	311	915
254	312	912
255	312	908
256	313	905
257	314	903
258	314	899
259	315	896
260	315	893
261	316	890
262	316	887
263	317	884
264	317	881
265	318	879
266	319	876
267	319	873
268	320	870
269	321	867
270	321	865
271	322	862
272	322	859
273	323	856
274	324	854
275	324	852
276	325	849
277	326	847
278	326	844
279	327	842
280	328	839
281	328	837
282	329	834
283	330	832
284	330	829
285	331	827
286	331	824
287	332	821
288	333	819
289	333	816
290	334	814
291	334	811
292	335	809
293	335	806
294	336	804
295	337	801
296	337	799
297	338	797
298	339	794
299	339	792
300	340	790
301	341	788
302	341	785
303	342	783
304	342	781
305	343	779
306	344	776
307	344	774
308	345	772
309	345	770
310	346	767
311	347	765
312	347	763
313	348	760
314	348	758
315	349	756
316	349	754
317	350	751
318	351	749
319	351	747
320	352	745
321	352	742
322	353	740
323	354	738
324	354	737
325	355	735
326	356	732
327	356	730
328	357	728
329	357	726
330	358	724
331	359	722
332	359	720
333	360	718
334	360	716
335	361	713
336	361	711
337	362	709
338	363	707
339	363	705
340	364	703
341	364	701
342	365	699
343	365	697
344	366	695
345	367	693
346	367	691
347	368	689
348	369	688
349	369	686
350	370	684
351	370	682
352	371	681
353	372	679
354	372	677
355	373	675
356	374	674
357	375	672
358	376	671
359	377	670
360	378	669
361	378	667
362	379	665
363	380	663
364	380	662
365	381	660
366	382	658
367	382	657
368	383	655
369	384	654
370	385	652
371	385	651
372	386	649
373	387	647
374	387	646
375	388	644
376	388	642
377	389	641
378	390	639
379	390	637
380	391	636
381	392	634
382	392	632
383	393	631
384	394	629
385	395	628
386	395	626
387	396	624
388	396	623
389	397	621
390	397	619
391	398	618
392	399	617
393	400	615
394	401	614
395	401	612
396	402	611
397	403	609
398	403	608
399	404	606
400	405	605
401	405	603
402	406	601
403	406	600
404	407	598
405	408	597
406	408	595
407	409	593
408	409	592
409	410	590
410	411	589
411	411	587
412	412	585
413	412	584
414	413	582
415	414	581
416	415	580
417	415	578
418	416	577
419	417	576
420	417	574
421	418	573
422	419	571
423	419	570
424	420	568
425	420	567
426	421	565
427	422	563
428	422	562
429	423	560
430	423	559
431	424	557
432	424	556
433	425	555
434	426	553
435	426	552
436	427	550
437	428	549
438	428	547
439	429	546
440	430	545
441	430	543
442	431	542
443	431	540
444	432	539
445	433	538
446	433	536
447	434	535
448	435	533
449	435	532
450	436	531
451	436	529
452	437	528
453	437	526
454	438	525
455	439	523
456	439	522
457	440	520
458	440	519
459	441	518
460	441	516
461	442	515
462	443	513
463	443	512
464	444	511
465	445	510
466	445	508
467	446	507
468	447	506
469	447	504
470	448	503
471	448	502
472	449	500
473	450	499
474	450	497
475	451	496
476	451	495
477	452	493
478	452	492
479	453	491
480	454	489
481	454	488
482	455	487
483	455	485
484	456	484
485	456	483
486	457	481
487	458	480
488	459	479
489	459	478
490	460	477
491	461	476
492	461	475
493	462	473
494	463	472
495	463	471
496	464	469
497	464	468
498	465	467
499	465	465
500	466	464
501	467	463
502	467	462
503	468	460
504	468	459
505	469	458
506	469	457
507	470	455
508	471	454
509	471	453
510	472	452
511	473	450
512	473	449
513	474	448
514	475	447
515	475	446
516	476	445
517	477	443
518	477	442
519	478	441
520	478	440
521	479	438
522	479	437
523	480	436
524	481	435
525	481	434
526	482	432
527	482	431
528	483	430
529	483	429
530	484	427
531	485	426
532	485	425
533	486	424
534	486	423
535	487	421
536	488	420
537	488	419
538	489	418
539	490	417
540	491	416
541	491	415
542	493	414
543	493	413
544	494	412
545	495	411
546	495	410
547	496	409
548	497	408
549	497	407
550	498	406
551	499	405
552	499	403
553	500	402
554	501	401
555	501	400
556	502	399
557	503	398
558	503	397
559	504	396
560	505	395
561	506	394
562	506	393
563	507	392
564	508	391
565	508	390
566	509	389
567	510	387
568	510	386
569	511	385
570	512	384
571	512	383
572	513	382
573	514	381
574	514	380
575	515	379
576	516	378
577	516	377
578	517	376
579	518	375
580	519	374
581	519	373
582	520	372
583	521	371
584	521	370
585	522	369
586	523	368
587	523	367
588	524	366
589	525	364
590	525	363
591	526	362
592	526	361
593	527	360
594	528	359
595	528	358
596	529	357
597	529	356
598	530	355
599	530	353
600	531	352
601	532	351
602	533	350
603	534	350
604	534	349
605	535	348
606	536	347
607	536	346
608	537	345
609	538	344
610	538	343
611	539	341
612	540	340
613	540	339
614	541	338
615	541	337
616	542	336
617	543	335
618	543	334
619	544	333
620	544	332
621	545	331
622	545	330
623	546	329
624	547	328
625	547	327
626	548	326
627	549	325
628	550	324
629	551	323
630	551	322
631	552	321
632	553	320
633	553	319
634	554	318
635	554	317
636	555	316
637	555	315
638	556	314
639	557	313
640	557	312
641	558	311
642	558	310
643	559	309
644	560	308
645	560	307
646	561	306
647	561	305
648	562	304
649	563	303
650	564	302
651	564	301
652	565	300
653	566	299
654	567	298
655	567	297
656	568	296
657	569	295
658	569	294
659	570	293
660	570	292
661	571	291
662	572	290
663	572	289
664	573	288
665	573	287
666	574	286
667	575	285
668	575	284
669	576	283
670	576	282
671	577	282
672	578	281
673	579	280
674	580	279
675	581	278
676	581	277
677	582	276
678	582	275
679	583	274
680	584	273
681	584	272
682	585	271
683	585	270
684	586	269
685	587	268
686	587	267
687	588	266
688	588	265
689	589	264
690	590	263
691	590	262
692	591	261
693	591	261
694	592	260
695	593	259
696	594	258
697	595	257
698	595	256
699	596	255
700	597	254
701	598	253
702	598	252
703	599	252
704	600	251
705	600	250
706	601	249
707	602	248
708	602	247
709	603	246
710	604	245
711	604	244
712	605	243
713	606	242
714	606	241
715	607	240
716	608	240
717	609	239
718	610	238
719	610	237
720	611	236
721	612	235
722	612	234
723	613	233
724	614	233
725	615	232
726	616	231
727	616	230
728	617	229
729	617	228
730	618	227
731	619	226
732	619	225
733	620	224
734	620	223
735	621	222
736	622	222
737	623	221
738	624	220
739	625	219
740	626	218
741	626	217
742	627	217
743	628	216
744	628	215
745	629	214
746	630	213
747	631	212
748	631	211
749	632	210
750	632	209
751	633	208
752	634	208
753	634	207
754	635	206
755	635	205
756	636	204
757	637	203
758	638	202
759	638	201
760	639	200
761	640	200
762	641	199
763	642	198
764	643	197
765	643	196
766	644	195
767	645	194
768	645	194
769	646	193
770	647	192
771	647	191
772	648	190
773	649	189
774	649	188
775	650	187
776	651	186
777	651	186
778	653	185
779	653	184
780	654	183
781	655	182
782	656	181
783	656	180
784	657	180
785	658	179
786	659	178
787	659	177
788	660	176
789	661	175
790	661	174
791	662	173
792	662	173
793	663	172
794	663	171
795	664	170
796	665	169
797	665	168
798	666	167
799	667	166
800	668	165
801	668	165
802	669	164
803	670	163
804	671	162
805	672	161
806	672	160
807	673	160
808	674	159
809	674	158
810	675	157
811	676	156
812	676	155
813	677	154
814	678	153
815	678	153
816	679	152
817	679	151
818	680	150
819	681	149
820	681	148
821	682	147
822	683	147
823	684	146
824	685	145
825	685	144
826	686	143
827	687	142
828	688	141
829	688	141
830	689	140
831	689	139
832	690	138
833	691	137
834	691	136
835	692	135
836	692	134
837	693	134
838	693	133
839	694	132
840	695	131
841	696	130
842	696	129
843	697	128
844	698	128
845	699	127
846	699	126
847	700	125
848	701	124
849	702	123
850	703	123
851	703	122
852	704	121
853	705	120
854	705	119
855	706	118
856	706	117
857	707	117
858	708	116
859	708	115
860	709	114
861	709	113
862	710	112
863	711	111
864	712	111
865	712	110
866	713	109
867	714	108
868	715	107
869	715	106
870	716	106
871	717	105
872	717	104
873	718	103
874	719	102
875	719	101
876	720	101
877	720	100
878	721	99
879	722	98
880	722	97
881	723	96
882	723	95
883	724	95
884	725	94
885	725	93
886	726	92
887	727	91
888	727	90
889	728	90
890	729	89
891	730	88
892	730	87
893	731	86
894	732	85
895	732	85
896	733	84
897	734	83
898	734	82
899	735	81
900	735	80
901	736	80
902	736	79
903	737	78
904	738	77
905	738	76
906	739	75
907	740	75
908	740	74
909	741	73
910	742	72
911	743	71
912	744	70
913	744	70
914	745	69
915	746	68
916	746	67
917	747	66
918	748	65
919	748	65
920	749	64
921	749	63
922	750	62
923	751	61
924	751	60
925	752	60
926	752	59
927	753	58
928	754	57
929	754	56
930	755	55
931	756	55
932	756	54
933	757	53
934	758	52
935	759	51
936	759	51
937	760	50
938	761	49
939	761	48
940	762	47
941	762	46
942	763	46
943	764	45
944	764	44
945	765	43
946	765	42
947	766	42
948	767	41
949	767	40
950	768	39
951	769	38
952	769	37
953	770	37
954	770	36
955	771	35
956	772	34
957	773	33
958	774	33
959	775	32
960	775	31
961	776	30
962	777	29
963	777	29
964	778	28
965	778	27
966	779	26
967	779	25
968	780	24
969	781	24
970	781	23
971	782	22
972	783	21
973	784	20
974	785	20
975	786	19
976	786	18
977	787	17
978	788	16
979	789	16
980	789	15
981	790	14
982	791	13
983	791	12
984	792	12
985	793	11
986	793	10
987	794	9
988	795	8
989	795	8
990	796	7
991	796	6
992	797	5
993	798	4
994	798	4
995	799	3
996	799	2
997	800	1
998	800	0
999	801	0
